State/UnionTerritory,Cured,Deaths,Confirmed
Andaman and Nicobar Islands,1848286,27136,1938498
Andhra Pradesh,370426530,2939367,392432753
Arunachal Pradesh,6588149,26799,7176907
Assam,92678680,638323,99837011
Bihar,125122902,1093466,132231166
Bihar****,1402468,18881,1430909
Cases being reassigned to states,0,0,345565
Chandigarh,10117035,147694,10858627
Chhattisgarh,151609364,2063920,163776262
Dadra and Nagar Haveli,20352,8,20722
Dadra and Nagar Haveli and Daman and Diu,1841750,1014,1938632
Daman & Diu,0,0,2
Delhi,273419887,4943294,287227765
Goa,26027201,447801,28240159
Gujarat,132487127,2219448,143420082
Haryana,126585342,1502799,134347285
Himachal Pradesh,27501110,491348,30033289
Himanchal Pradesh,200040,3507,204516
Jammu and Kashmir,53297341,839694,58117726
Jharkhand,58034506,748641,62111994
Karanataka,2821491,36197,2885238
Karnataka,441844360,6053762,485970693
Kerala,420174235,1888177,458906023
Ladakh,3758960,45804,4054293
Lakshadweep,820925,3908,915784
Madhya Pradesh,126724997,1777752,135625265
Madhya Pradesh***,780735,10506,791656
Maharashtra,1018765039,23737432,1121491467
Maharashtra***,6000911,130753,6229596
Manipur,11230568,173056,12617943
Meghalaya,6537909,101950,7355969
Mizoram,2384602,9791,2984732
Nagaland,4519526,58460,5041742
Odisha,150923455,790814,160130533
Puducherry,18483117,312155,20065891
Punjab,91458159,2785594,99949702
Rajasthan,150356820,1473089,162369656
Sikkim,2747214,53150,3186799
Tamil Nadu,404095807,5916658,431928644
Telangana,57488245,349648,60571979
Telengana,64666267,400427,69990668
Tripura,12976846,150342,14050250
Unassigned,0,0,161
Uttar Pradesh,291479351,4143450,312625843
Uttarakhand,48362741,986001,53140414
West Bengal,247515102,3846989,263107876
